Id,Asana Name,Description,Benefit
1,Adho Mukha Svanasana,"Stretches the shoulders, hamstrings, calves, arches, and hands. Strengthens the arms and legs. Relieves tension in the spine...","Stress, Anxiety, Headaches"
2,Bhujangasana,"Stretches the chest, lungs, shoulders, and abdomen. Tones the buttocks. Stimulates abdominal organs. Helps relieve stress...","Back Pain, Sciatica, Asthma"
3,Trikonasana,"Stretches and strengthens the thighs, knees, and ankles. Stretches the hips, groins, hamstrings, and calves. Relieves stress...","Digestive Disorders, Anxiety"
4,Savasana,Relaxes the body and mind. Helps reduce stress and anxiety. Improves concentration and mental clarity.,"Stress, Anxiety, Insomnia"
5,Uttanasana,"Stretches the hips, hamstrings, and calves. Strengthens the thighs and knees. Relieves tension in the spine, neck, and back...","Back Pain, Anxiety, Fatigue"
6,Padanguli Naman,This group of asanas is concerned with loosening up the joints of the body. It is excellent for those debilitated by various ailments.,Flexibility
7,Goolf Naman,This group of asanas is concerned with loosening up the joints of the body. It is excellent for those debilitated by various ailments.,Flexibility
8,Goolf Chakra,This group of asanas is concerned with loosening up the joints of the body. It is excellent for those debilitated by various ailments.,Flexibility
9,Goolf Ghooman,All the foot and calf asanas help in returning the stagnant lymph and venous blood. They thus relieve tiredness and cramp.,Circulation
10,Janufalak Akarshan,This group of asanas is concerned with loosening up the joints of the body. It is excellent for those debilitated by various ailments.,Flexibility
11,Janu Naman,This group of asanas is concerned with loosening up the joints of the body. It is excellent for those debilitated by various ailments.,Flexibility
12,Janu Chakra,"Since the knee joint bears the whole weight of the body and is vulnerable to injuries, these asanas strengthen the quadriceps muscle and ligaments.","Strength, Injury Prevention"
13,Ardha Titali Asana,An excellent preparatory practice for loosening up the knee and hip joints for meditative poses.,Flexibility
14,Shroni Chakra,This group of asanas is concerned with loosening up the joints of the body. It is excellent for those debilitated by various ailments.,Flexibility
15,Pooma Titali Asana,"Prepares the legs for mastery of meditative asanas, relieves tension in inner thigh muscles, and removes tiredness from standing and walking.","Flexibility, Relaxation"
16,Mushtika Bandhana,"Concerned with loosening up the joints of the body, particularly useful for those debilitated by various ailments.","Flexibility, Coordination, Confidence"
17,Manibandha Naman,"Concerned with loosening up the joints of the body, particularly useful for those debilitated by various ailments.","Flexibility, Coordination, Confidence"
18,Manibandha Chakra,"Beneficial for hand and wrist joints, relieves tension from activities like writing and typing.","Relief, Flexibility"
19,Kehuni Naman,"Concerned with loosening up the joints of the body, particularly useful for those debilitated by various ailments.","Flexibility, Coordination, Confidence"
20,Kehuni Chakra,"Concerned with loosening up the joints of the body, particularly useful for those debilitated by various ailments.","Flexibility, Coordination, Confidence"
21,Skandha Chakra,"Relieves strain from activities like driving and office work, helps with cervical spondylitis and frozen shoulder, maintains shoulder and chest shape.","Relief, Maintenance"
22,Greeva Sanchalana,"Releases tension, heaviness, and stiffness in the head, neck, and shoulder region, especially useful after prolonged desk work.","Relief, Relaxation"
23,Padotthanasana,"Strengthens abdominal muscles, massages organs, strengthens digestive system, lower back, pelvic and perineal muscles, corrects prolapse.","Strength, Digestion, Correction"
24,Padachakrasana,"Good for hip joints, obesity, toning of abdominal and spinal muscles.","Flexibility, Toning"
25,Pada Sanchalanasana,"Good for hip and knee joints, strengthens abdominal and lower back muscles.","Strength, Flexibility"
26,Supta Pawanmuktasana,"Strengthens lower back muscles, loosens spinal vertebrae, massages abdomen and digestive organs, effective for wind, constipation, impotence, sterility, and menstrual problems.","Strength, Digestion, Relaxation"
27,Jhulana Lurhakanasana,"Massages back, buttocks, and hips, useful for morning practice.","Massage, Relaxation"
28,Supta Udarakarshanasana,"Gives an excellent stretch to abdominal muscles and organs, improves digestion, eliminates constipation, relieves strain and stiffness caused by prolonged sitting.","Stretch, Digestion, Relief, Flexibility"
29,Shava Udarakarshanasana,"Relieves tightness and tiredness, especially in the lower back, tones pelvic and abdominal organs.","Relief, Toning, Relaxation"
30,Naukasana,"Stimulates muscular, digestive, circulatory, nervous, and hormonal systems, tones all organs, removes lethargy, useful for nervous tension, relaxation, and pregnancy.","Stimulation, Toning, Relaxation, Pregnancy Support"
31,Rajju Karshanasana,"Loosens shoulder joints, stretches upper back muscles, firms breast, develops chest muscles.","Flexibility, Strength"
32,Gatyatmak Meru Vakrasana,Removes stiffness of the back and increases flexibility of the spine.,"Flexibility, Relief"
33,Chakki Chalanasana,"Excellent for toning nerves and organs of the pelvis and abdomen, regulates menstrual cycle, aids postnatal recovery.","Toning, Menstrual Regulation, Postnatal Recovery"
34,Nauka Sanchalanasana,"Positive effect on pelvis and abdomen, releases energy blockages, useful for gynecological disorders and postnatal recovery.","Relief, Energy Flow, Gynecological Health"
35,Kashtha Takshanasana,"Loosens pelvic girdle, tones pelvic muscles, releases frustration, lightens mood.","Flexibility, Toning, Emotional Release"
36,Namaskarasana,"Profound effect on nerves and muscles of thighs, knees, shoulders, arms, and neck, increases flexibility in hips.","Flexibility, Strength, Coordination"
37,Vayu Nishkasana,"Beneficial effect on thighs, knees, shoulders, arms, neck, massages pelvic organs and muscles, stretches spine, relieves flatulence.","Relief, Flexibility, Digestive Health"
38,Kauva Chalasana,"Prepares legs for meditation, improves blood circulation, helps remove constipation.","Circulation, Digestion, Preparation for Meditation"
39,Udarakarshanasana,"Useful for abdominal ailments, compresses and stretches organs and muscles, relieves constipation.","Relief, Digestion, Flexibility"
40,Palming (Eye Exercise),"Relaxes and revitalizes eye muscles, stimulates circulation of aqueous humor, aids in correcting defective vision.","Relaxation, Vision Improvement"
41,Blinking (Eye Exercise),"Encourages spontaneous blinking reflex, induces relaxation of eye muscles.","Relaxation, Eye Health"
42,Sideways Viewing (Eye Exercise),"Relaxes tension from constant reading and close work, prevents and corrects squint.","Relaxation, Eye Health"
43,Front and Sideways Viewing (Eye Exercise),Improves coordination of medial and lateral eye muscles.,"Coordination, Eye Health"
44,Up and Down Viewing (Eye Exercise),Balances upper and lower eyeball muscles.,"Balance, Eye Health"
45,Rotational Viewing (Eye Exercise),Improves coordinated activities of all eye muscles.,"Coordination, Eye Health"
46,Preliminary Nasikagra Drishti (Eye Exercise),Improves accommodating and focusing power of eye muscles.,"Focus, Eye Health"
47,Nearing And Distant Viewing (Eye Exercise),"Improves accommodating and focusing power of eye muscles, increases range of movements.","Focus, Range of Motion, Eye Health"
48,Shavasana (Corpse Pose),"Relaxes psycho-physiological system, ideal before sleep and after asana practice, develops body awareness.","Relaxation, Awareness, Pratyahara"
49,Advasana (Reversed Corpse Pose),"Recommended for slipped disc, stiff neck, and stooping figure.","Relief, Alignment"
50,Jyestikasana (Superior Posture),"Helpful for all spinal complaints, especially cervical spondylitis and stiff neck or upper back.","Relief, Spinal Health"
51,Makarasana (Crocodile Pose),"Effective for slipped disc, sciatica, certain types of lower back pain, encourages normal spinal shape, releases compression of spinal nerves.","Relief, Spinal Health, Pain Management"
52,Matsya Kridasana (Flapping Fish Pose),"Stimulates digestive peristalsis, relieves sciatic pain, relaxes perineum, suitable for pregnancy and relaxation.","Digestion, Pain Relief, Relaxation, Pregnancy Support"
53,Sukhasana (Easy Pose),"Easiest meditation posture, facilitates mental and physical balance without strain or pain.","Balance, Meditation, Comfort"
